  i11 |  i12 |  i13 |  i14_q1 |  i20 |   i2x_1 |   i2x_2
    7 |    0 |    0 |       1 |    0 |       0 |       0
    7 |    0 |    0 |       1 |    1 |       0 |       0
    7 |    0 |    0 |       1 |    2 |       0 |       0
    7 |    0 |    0 |       1 |    3 |       0 |       0
    7 |    0 |    0 |       2 |    0 |       0 |       0
    7 |    0 |    0 |       2 |    1 |       0 |       0
    7 |    0 |    0 |       2 |    2 |       0 |       0
    7 |    0 |    0 |       2 |    3 |       0 |       0
    7 |    0 |    0 |       3 |    0 |       0 |       0
    7 |    0 |    0 |       3 |    1 |       0 |       0
    7 |    0 |    0 |       3 |    2 |       0 |       0
    7 |    0 |    0 |       3 |    3 |       0 |       0
